gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Il10,78.86587848241628,2.8218982373055486,0.7104700422961763,3.9718750535707645,7.130912118669451e-5,0.01412834818998945
Aff3,198.54324155371575,-1.0695563205603031,0.2503332425566736,-4.2725301267895475,1.9326743178799782e-5,0.007066670795694539
Macir,17.734594464586785,1.980481586035417,0.3943571577621152,5.022050562678227,5.112271994487904e-7,5.643217957344005e-4
Slamf1,70.96878605320336,0.9514639640341761,0.26600431852998835,3.576874124797006,3.477275116968433e-4,0.03951309533649276
Rgs1,364.4967694440438,1.945367178290194,0.5161240046776309,3.769185623337289,1.6378105446219368e-4,0.02433723476594943
Lime1,11.11374719700899,1.5433560952460101,0.4021469960499294,3.8377909331800444,1.24146107439409e-4,0.020410148344347092
Slc28a2b,23.540879957303396,-1.8193509912512769,0.42038637174985494,-4.3278067832652205,1.5060149413934568e-5,0.005818488726073621
Serinc3,168.87704339499606,0.8693332406006776,0.16531833184417566,5.258541087990691,1.4520274503989563e-7,2.804954027308184e-4
Neb,35.12677649960442,1.686494211664344,0.3801750908414899,4.436098661623022,9.160387650219213e-6,0.0044238947108277415
Arl5a,22.50371066540838,1.3909861921022142,0.3826622012564422,3.6350237560308205,2.7795502155998777e-4,0.03440257884476319
Set,89.89551735404565,-1.150845415947915,0.2751928909275653,-4.181959105371053,2.8900796096295464e-5,0.008270979682817594
Sat1,107.08254723196092,0.7060141701446749,0.18540022559917327,3.808054536411649,1.4006438738157896e-4,0.02192466740947838
Gclm,16.463308529511224,-1.5044924875239918,0.42719453860956147,-3.521797100732688,4.2863206966770376e-4,0.04192455699142211
Tent5c,38.00626959021443,1.1939969362269869,0.3087267921331086,3.867487262693388,1.0996257017096086e-4,0.018881795104689212
Dennd2d,36.366447898640004,-1.5186143578315392,0.4158633997384407,-3.651714382142499,2.604955103512872e-4,0.0335474801414066
Syf2,93.00553413475197,0.5289027152845491,0.13248118123050326,3.992285624056403,6.54394840836836e-5,0.013666240365260086
Vamp3,21.833171831114708,1.0562448583625006,0.2595944590329202,4.068826670250901,4.725048001229484e-5,0.01106377148651522
Tgfbr3,14.908189870325634,-1.7670032900823083,0.5112498531923384,-3.456242146670192,5.477630048545205e-4,0.049215869052452094
Mfsd10,20.344694114458648,0.91068876789715,0.2576497324897887,3.534600090971346,4.0839273029775395e-4,0.04192455699142211
Tpst2,77.07611142662194,0.6932538872908087,0.19684064657502193,3.521904135925446,4.284590499215613e-4,0.04192455699142211
Fgl2,15.302204259752063,1.7918469541195465,0.5072690543139668,3.532340360369211,4.118988364234406e-4,0.04192455699142211
Selplg,257.474974947448,0.8944129065502416,0.1993102126179303,4.4875417812372485,7.204968529176122e-6,0.003976627987495993
Lag3,193.37020783717784,1.4622703397746997,0.3843140114032227,3.804884277925751,1.4187050219670235e-4,0.02192466740947838
Ntrk3,21.061680965498677,-2.5585018310035474,0.6269267527445396,-4.081021937256659,4.4838122449483035e-5,0.010827005380223607
Eps8l1,8.634524879058379,-1.8114870443906488,0.47314596126283465,-3.8286008815456416,1.2887380464898644e-4,0.020745997677556628
Furin,67.50358006987133,2.907047904424346,0.7956468477955594,3.6536912230327956,2.584971098433316e-4,0.0335474801414066
Sirt2,41.7585866760305,0.7134531172013968,0.1896717289533808,3.761515335671114,1.6888706423795873e-4,0.024622459346541642
Tspyl1,30.568960605993823,0.9673426057049639,0.27773642931485676,3.482951833474942,4.959175812738794e-4,0.04673116037199105
Prdm1,16.64334672896122,2.0292753306139333,0.47627100228413,4.260757679728156,2.037350349268222e-5,0.007066670795694539
Atp5b,256.37342395094095,-0.356765363028906,0.10115173689864046,-3.527031506996309,4.202467518816178e-4,0.04192455699142211
Tespa1,89.14333916669368,-1.3885302659437686,0.2708986450267848,-5.125644928222064,2.9652096897896e-7,4.582435054600848e-4
Cdh23,13.526547676251294,-1.6367789561904202,0.45158388212026224,-3.6245291760757,2.89488340324788e-4,0.03495119383890058
Mvd,7.784140532012803,1.576504357298462,0.37889492358377475,4.1607956696466335,3.171407388050143e-5,0.008579458929703165
Hmgb2,155.27625950652913,0.7700181590006017,0.21416272319170812,3.5954817324176376,0.00032379184995267566,0.037342382456482456
Tbc1d4,109.0791091674566,-0.7344757186718652,0.2074670098112047,-3.5402048708382083,3.9981653290218776e-4,0.04192455699142211
Ctsb,181.1762354107605,0.7959220600771795,0.20312278000025683,3.9184283519365635,8.912821366122229e-5,0.016016132720006154
Gzmb,96.17487995115292,5.481361772404124,1.0979085142470515,4.9925487427003485,5.958766883188657e-7,5.755423963299844e-4
Il3ra,10.88456669659237,1.2173460664349591,0.35128346713570247,3.465423739867304,5.293966418418145e-4,0.04869818870847263
Acsbg1,29.08807367338331,0.9565951691485437,0.2694463065510266,3.550225577010787,3.8490119004305984e-4,0.04192455699142211
Rps25,694.6533195442895,-0.5162731900559874,0.14686691492304177,-3.5152450116250784,4.3934844543680376e-4,0.04243556797362728
Cxcr5,26.650030703356514,-1.603504610160424,0.4547664328175872,-3.525995971658732,4.218933861839037e-4,0.04192455699142211
Ccr9,48.72510523947402,1.7603088298794753,0.49859530777107597,3.5305362935499183,4.147181138315295e-4,0.04192455699142211
Lztfl1,64.46730592185857,1.062304280980495,0.2924298584183868,3.632680625453196,2.8049210136147035e-4,0.03440257884476319
Cxcr6,41.70932648244642,2.741373170676138,0.6973838911425099,3.930938476633009,8.46149245204569e-5,0.015567131470704059
Impdh2,52.118219556263895,-0.9553681930090515,0.241430097679733,-3.9571213456426086,7.585840060371758e-5,0.014296533206461603
